0. camidx = 0, ptidx = 0, projections: x = 1597.07, y = 473.37.
15298. camidx = 20, ptidx = 3972, projections: x = -896.94, y = 42.1699.
15299. camidx = 4, ptidx = 3973, projections: x = 493.02, y = 535.04.
15300. camidx = 7, ptidx = 3973, projections: x = -375.94, y = 638.27.
15301. camidx = 9, ptidx = 3973, projections: x = -1258.77, y = 639.27.
15302. camidx = 11, ptidx = 3973, projections: x = -566.46, y = 551.41.
15303. camidx = 19, ptidx = 3973, projections: x = 1319.29, y = 600.61.
15304. camidx = 4, ptidx = 3974, projections: x = 85.51, y = 539.85.
15305. camidx = 5, ptidx = 3974, projections: x = -662.77, y = 842.78.
15306. camidx = 4, ptidx = 3975, projections: x = 55.51, y = 562.52.
15307. camidx = 7, ptidx = 3975, projections: x = -832.3, y = 719.23.
15308. camidx = 10, ptidx = 3975, projections: x = -1218.85, y = -15.54.
15309. camidx = 14, ptidx = 3975, projections: x = -37.99, y = 462.36.
15310. camidx = 15, ptidx = 3975, projections: x = 811.23, y = 457.16.
15311. camidx = 16, ptidx = 3975, projections: x = -405.01, y = 597.36.
15312. camidx = 19, ptidx = 3975, projections: x = 584.46, y = 722.74.
15313. camidx = 4, ptidx = 3976, projections: x = 141.06, y = 570.23.
15314. camidx = 7, ptidx = 3976, projections: x = -742.19, y = 722.13.
15315. camidx = 15, ptidx = 3976, projections: x = 899.14, y = 465.78.
15316. camidx = 16, ptidx = 3976, projections: x = -326.28, y = 602.15.
15317. camidx = 4, ptidx = 3977, projections: x = 11.6899, y = 571.92.
15318. camidx = 7, ptidx = 3977, projections: x = -888.62, y = 738.26.
15319. camidx = 10, ptidx = 3977, projections: x = -1267.96, y = 4.94995.
15320. camidx = 14, ptidx = 3977, projections: x = -71.17, y = 476.94.
15321. camidx = 15, ptidx = 3977, projections: x = 763.46, y = 467.7.
15322. camidx = 16, ptidx = 3977, projections: x = -450.22, y = 609.33.
15323. camidx = 19, ptidx = 3977, projections: x = 503.69, y = 744.46.
15324. camidx = 4, ptidx = 3978, projections: x = 2.30005, y = 572.21.
15325. camidx = 7, ptidx = 3978, projections: x = -902.06, y = 740.15.
15326. camidx = 14, ptidx = 3978, projections: x = -78.48, y = 478.16.
15327. camidx = 15, ptidx = 3978, projections: x = 752.31, y = 467.87.
15328. camidx = 19, ptidx = 3978, projections: x = 485.2, y = 745.95.
15329. camidx = 4, ptidx = 3979, projections: x = 45.47, y = 200.42.
15330. camidx = 7, ptidx = 3979, projections: x = -839.71, y = 182.08.
15331. camidx = 4, ptidx = 3980, projections: x = -22.3101, y = 226.52.
15332. camidx = 7, ptidx = 3980, projections: x = -928.28, y = 221.67.
15333. camidx = 14, ptidx = 3980, projections: x = -107.28, y = 176.35.
15334. camidx = 15, ptidx = 3980, projections: x = 723.16, y = 74.49.
15335. camidx = 16, ptidx = 3980, projections: x = -471.77, y = 234.7.
15336. camidx = 4, ptidx = 3981, projections: x = 1163.78, y = 241.63.
15337. camidx = 5, ptidx = 3981, projections: x = 826.74, y = 635.32.
15338. camidx = 8, ptidx = 3981, projections: x = 15.47, y = -44.59.
15339. camidx = 4, ptidx = 3982, projections: x = -88.78, y = 241.63.
15340. camidx = 7, ptidx = 3982, projections: x = -1026.78, y = 245.52.
15341. camidx = 14, ptidx = 3982, projections: x = -164.78, y = 192.66.
15342. camidx = 15, ptidx = 3982, projections: x = 647.25, y = 92.28.
15343. camidx = 16, ptidx = 3982, projections: x = -545.34, y = 249.8.
15344. camidx = 4, ptidx = 3983, projections: x = 1121.55, y = 243.61.
15345. camidx = 8, ptidx = 3983, projections: x = -80.81, y = -28.58.
15346. camidx = 4, ptidx = 3984, projections: x = 1009.05, y = 246.75.
15347. camidx = 5, ptidx = 3984, projections: x = 624.24, y = 620.59.
15348. camidx = 4, ptidx = 3985, projections: x = 922.38, y = 259.96.
15349. camidx = 5, ptidx = 3985, projections: x = 506.7, y = 624.22.
15350. camidx = 4, ptidx = 3986, projections: x = 902.8, y = 260.84.
15351. camidx = 5, ptidx = 3986, projections: x = 480.45, y = 622.46.
15352. camidx = 4, ptidx = 3987, projections: x = 872.67, y = 261.08.
15353. camidx = 5, ptidx = 3987, projections: x = 440.68, y = 617.94.
15354. camidx = 4, ptidx = 3988, projections: x = 975.64, y = 268.42.
15355. camidx = 5, ptidx = 3988, projections: x = 575.01, y = 643.87.
15356. camidx = 4, ptidx = 3989, projections: x = 1085.19, y = 273.18.
15357. camidx = 5, ptidx = 3989, projections: x = 719.85, y = 666.07.
15358. camidx = 8, ptidx = 3989, projections: x = -171.56, y = 54.77.
15359. camidx = 4, ptidx = 3990, projections: x = 102.86, y = 290.56.
15360. camidx = 7, ptidx = 3990, projections: x = -773.19, y = 315.22.
15361. camidx = 4, ptidx = 3991, projections: x = 78.93, y = 294.9.
15362. camidx = 7, ptidx = 3991, projections: x = -798.07, y = 321.77.
15363. camidx = 14, ptidx = 3991, projections: x = -27.36, y = 230.29.
15364. camidx = 15, ptidx = 3991, projections: x = 835.78, y = 152.29.
15365. camidx = 16, ptidx = 3991, projections: x = -372.45, y = 310.07.
15366. camidx = 4, ptidx = 3992, projections: x = 916.03, y = 306.29.
15367. camidx = 5, ptidx = 3992, projections: x = 489.44, y = 684.63.
15368. camidx = 4, ptidx = 3993, projections: x = 1002.15, y = 320.01.
15369. camidx = 5, ptidx = 3993, projections: x = 601.21, y = 715.02.
15370. camidx = 4, ptidx = 3994, projections: x = 47.87, y = 319.9.
15371. camidx = 7, ptidx = 3994, projections: x = -837.85, y = 360.24.
15372. camidx = 10, ptidx = 3994, projections: x = -1247.27, y = -353.82.
15373. camidx = 15, ptidx = 3994, projections: x = 802.1, y = 181.03.
15374. camidx = 16, ptidx = 3994, projections: x = -405.22, y = 336.83.
15375. camidx = 19, ptidx = 3994, projections: x = 573.11, y = 267.21.
15376. camidx = 4, ptidx = 3995, projections: x = -32.96, y = 321.44.
15377. camidx = 7, ptidx = 3995, projections: x = -947.57, y = 365.47.
15378. camidx = 15, ptidx = 3995, projections: x = 710.9, y = 183.23.
15379. camidx = 16, ptidx = 3995, projections: x = -488.72, y = 337.91.
15380. camidx = 4, ptidx = 3996, projections: x = 826.67, y = 323.97.
15381. camidx = 5, ptidx = 3996, projections: x = 367.56, y = 694.14.
15382. camidx = 4, ptidx = 3997, projections: x = 815.29, y = 323.65.
15383. camidx = 5, ptidx = 3997, projections: x = 352.9, y = 691.09.
15384. camidx = 4, ptidx = 3998, projections: x = -95.25, y = 325.85.
15385. camidx = 7, ptidx = 3998, projections: x = -1039.33, y = 374.46.
15386. camidx = 15, ptidx = 3998, projections: x = 641.47, y = 188.16.
15387. camidx = 19, ptidx = 3998, projections: x = 304.76, y = 282.05.
15388. camidx = 4, ptidx = 3999, projections: x = -140.07, y = 332.02.
15389. camidx = 5, ptidx = 3999, projections: x = -937.52, y = 513.46.
15390. camidx = 14, ptidx = 3999, projections: x = -207.98, y = 275.97.
15391. camidx = 15, ptidx = 3999, projections: x = 589.48, y = 195.76.
15392. camidx = 16, ptidx = 3999, projections: x = -604.84, y = 348.14.
15393. camidx = 19, ptidx = 3999, projections: x = 219.41, y = 293.83.
15394. camidx = 4, ptidx = 4000, projections: x = 932.33, y = 339.13.
15395. camidx = 5, ptidx = 4000, projections: x = 504.36, y = 732.61.
15396. camidx = 4, ptidx = 4001, projections: x = 941.6, y = 355.4.
15397. camidx = 5, ptidx = 4001, projections: x = 513.42, y = 753.48.
15398. camidx = 4, ptidx = 4002, projections: x = 99.83, y = 357.79.
15399. camidx = 7, ptidx = 4002, projections: x = -776.96, y = 413.82.
15400. camidx = 14, ptidx = 4002, projections: x = -12.24, y = 281.93.
15401. camidx = 15, ptidx = 4002, projections: x = 858.29, y = 223.88.
15402. camidx = 16, ptidx = 4002, projections: x = -355.53, y = 377.73.
15403. camidx = 19, ptidx = 4002, projections: x = 667.79, y = 333.84.
15404. camidx = 4, ptidx = 4003, projections: x = 69.05, y = 360.15.
15405. camidx = 7, ptidx = 4003, projections: x = -897.82, y = 426.28.
15406. camidx = 4, ptidx = 4004, projections: x = 903.76, y = 360.76.
15407. camidx = 5, ptidx = 4004, projections: x = 460.28, y = 754.61.
15408. camidx = 4, ptidx = 4005, projections: x = 908.73, y = 362.97.
15409. camidx = 5, ptidx = 4005, projections: x = 467.36, y = 758.41.
15410. camidx = 4, ptidx = 4006, projections: x = 908.73, y = 362.97.
15411. camidx = 5, ptidx = 4006, projections: x = 467.36, y = 758.41.
15412. camidx = 4, ptidx = 4007, projections: x = -40.37, y = 370.61.
15413. camidx = 7, ptidx = 4007, projections: x = -958.64, y = 439.85.
15414. camidx = 15, ptidx = 4007, projections: x = 703.15, y = 239.27.
15415. camidx = 16, ptidx = 4007, projections: x = -498.07, y = 391.37.
15416. camidx = 4, ptidx = 4008, projections: x = -106.52, y = 370.83.
15417. camidx = 7, ptidx = 4008, projections: x = -941.26, y = 438.64.
15418. camidx = 4, ptidx = 4009, projections: x = -152.61, y = 370.84.
15419. camidx = 5, ptidx = 4009, projections: x = -963.09, y = 564.9.
15420. camidx = 4, ptidx = 4010, projections: x = 909.43, y = 389.27.
15421. camidx = 8, ptidx = 4010, projections: x = -654.35, y = 437.33.
15422. camidx = 4, ptidx = 4011, projections: x = 861.53, y = 391.7.
15423. camidx = 5, ptidx = 4011, projections: x = 398.9, y = 789.58.
15424. camidx = 4, ptidx = 4012, projections: x = 1174.52, y = 412.66.
15425. camidx = 6, ptidx = 4012, projections: x = 29.2, y = 122.12.
15426. camidx = 8, ptidx = 4012, projections: x = 27.09, y = 354.64.
15427. camidx = 16, ptidx = 4012, projections: x = 619.53, y = 429.61.
15428. camidx = 4, ptidx = 4013, projections: x = 51.16, y = 444.84.
15429. camidx = 7, ptidx = 4013, projections: x = -836.23, y = 545.61.
15430. camidx = 10, ptidx = 4013, projections: x = -1234.2, y = -176.92.
15431. camidx = 14, ptidx = 4013, projections: x = -44.25, y = 361.79.
15432. camidx = 15, ptidx = 4013, projections: x = 806.52, y = 323.37.
15433. camidx = 16, ptidx = 4013, projections: x = -405.5, y = 471.36.
15434. camidx = 19, ptidx = 4013, projections: x = 578.28, y = 502.76.
15435. camidx = 4, ptidx = 4014, projections: x = 364.36, y = 449.06.
15436. camidx = 7, ptidx = 4014, projections: x = -563.58, y = 529.59.
15437. camidx = 10, ptidx = 4014, projections: x = -1039.82, y = -201.11.
15438. camidx = 11, ptidx = 4014, projections: x = -827.16, y = 416.26.
15439. camidx = 14, ptidx = 4014, projections: x = 115.98, y = 316.8.
15440. camidx = 16, ptidx = 4014, projections: x = -144.42, y = 467.03.
15441. camidx = 19, ptidx = 4014, projections: x = 1075.8, y = 436.82.
15442. camidx = 20, ptidx = 4014, projections: x = -1055.64, y = -17.92.
15443. camidx = 4, ptidx = 4015, projections: x = 16.0699, y = 451.05.
15444. camidx = 7, ptidx = 4015, projections: x = -880.83, y = 557.45.
15445. camidx = 10, ptidx = 4015, projections: x = -1273, y = -163.87.
15446. camidx = 15, ptidx = 4015, projections: x = 768.26, y = 331.28.
15447. camidx = 18, ptidx = 4015, projections: x = -1376.96, y = 204.81.
15448. camidx = 4, ptidx = 4016, projections: x = 397.37, y = 455.31.
15449. camidx = 7, ptidx = 4016, projections: x = -501.14, y = 536.02.
15450. camidx = 10, ptidx = 4016, projections: x = -974.19, y = -197.11.
15451. camidx = 11, ptidx = 4016, projections: x = -723.01, y = 419.15.
15452. camidx = 14, ptidx = 4016, projections: x = 149.86, y = 322.88.
15453. camidx = 16, ptidx = 4016, projections: x = -104.9, y = 473.91.
15454. camidx = 18, ptidx = 4016, projections: x = -1158.76, y = 210.76.
15455. camidx = 4, ptidx = 4017, projections: x = -69.43, y = 456.3.
15456. camidx = 7, ptidx = 4017, projections: x = -1003.39, y = 572.2.
15457. camidx = 10, ptidx = 4017, projections: x = -1388.55, y = -145.68.
15458. camidx = 15, ptidx = 4017, projections: x = 671.43, y = 336.7.
15459. camidx = 16, ptidx = 4017, projections: x = -533.01, y = 484.88.
15460. camidx = 4, ptidx = 4018, projections: x = 784.82, y = 460.71.
15461. camidx = 5, ptidx = 4018, projections: x = 285.39, y = 867.72.
15462. camidx = 4, ptidx = 4019, projections: x = 75.1, y = 474.75.
15463. camidx = 7, ptidx = 4019, projections: x = -889.75, y = 599.44.
15464. camidx = 4, ptidx = 4020, projections: x = 382.06, y = 477.96.
15465. camidx = 7, ptidx = 4020, projections: x = -531.36, y = 567.33.
15466. camidx = 9, ptidx = 4020, projections: x = -1481.5, y = 543.91.
15467. camidx = 10, ptidx = 4020, projections: x = -1004.32, y = -167.89.
15468. camidx = 11, ptidx = 4020, projections: x = -775.09, y = 462.03.
15469. camidx = 14, ptidx = 4020, projections: x = 133.7, y = 338.41.
15470. camidx = 16, ptidx = 4020, projections: x = -123.67, y = 496.49.
15471. camidx = 19, ptidx = 4020, projections: x = 1110.69, y = 490.86.
15472. camidx = 20, ptidx = 4020, projections: x = -1024.18, y = 7.04999.
15473. camidx = 4, ptidx = 4021, projections: x = 461.63, y = 481.42.
15474. camidx = 7, ptidx = 4021, projections: x = -396.58, y = 567.95.
15475. camidx = 10, ptidx = 4021, projections: x = -866.5, y = -171.42.
15476. camidx = 11, ptidx = 4021, projections: x = -565.53, y = 452.92.
15477. camidx = 14, ptidx = 4021, projections: x = 209.58, y = 343.92.
15478. camidx = 16, ptidx = 4021, projections: x = -32.89, y = 501.72.
15479. camidx = 18, ptidx = 4021, projections: x = -1053.88, y = 232.25.
15480. camidx = 20, ptidx = 4021, projections: x = -904.53, y = -0.169983.
15481. camidx = 4, ptidx = 4022, projections: x = 778.52, y = 488.89.
15482. camidx = 5, ptidx = 4022, projections: x = 273.19, y = 903.26.
15483. camidx = 4, ptidx = 4023, projections: x = 804.17, y = 498.53.
15484. camidx = 5, ptidx = 4023, projections: x = 302.56, y = 921.72.
15485. camidx = 4, ptidx = 4024, projections: x = 426.48, y = 524.51.
15486. camidx = 7, ptidx = 4024, projections: x = -463.55, y = 629.7.
15487. camidx = 9, ptidx = 4024, projections: x = -1380.93, y = 627.
15488. camidx = 10, ptidx = 4024, projections: x = -934.37, y = -112.54.
15489. camidx = 11, ptidx = 4024, projections: x = -680.38, y = 540.79.
15490. camidx = 14, ptidx = 4024, projections: x = 171.45, y = 372.82.
15491. camidx = 16, ptidx = 4024, projections: x = -76.67, y = 544.8.
15492. camidx = 19, ptidx = 4024, projections: x = 1196.16, y = 579.28.
15493. camidx = 20, ptidx = 4024, projections: x = -966.17, y = 50.3401.
15494. camidx = 4, ptidx = 4025, projections: x = 15.96, y = 229.28.
15495. camidx = 7, ptidx = 4025, projections: x = -875.44, y = 225.58.
15496. camidx = 10, ptidx = 4025, projections: x = -1289.63, y = -484.25.
15497. camidx = 15, ptidx = 4025, projections: x = 766.45, y = 76.77.
15498. camidx = 16, ptidx = 4025, projections: x = -432.7, y = 238.67.
15499. camidx = 18, ptidx = 4025, projections: x = -1379.67, y = -77.7.
15500. camidx = 20, ptidx = 4025, projections: x = -1190.54, y = -269.51.
15501. camidx = 4, ptidx = 4026, projections: x = -20.1, y = 229.68.
15502. camidx = 7, ptidx = 4026, projections: x = -924.93, y = 226.13.
15503. camidx = 15, ptidx = 4026, projections: x = 725.65, y = 77.73.
15504. camidx = 16, ptidx = 4026, projections: x = -471.23, y = 238.41.
15505. camidx = 20, ptidx = 4026, projections: x = -1224.88, y = -269.32.
15506. camidx = 4, ptidx = 4027, projections: x = -99.88, y = 233.71.
15507. camidx = 7, ptidx = 4027, projections: x = -1043.55, y = 232.75.
15508. camidx = 14, ptidx = 4027, projections: x = -174.71, y = 185.78.
15509. camidx = 4, ptidx = 4028, projections: x = -210.2, y = 254.42.
15510. camidx = 5, ptidx = 4028, projections: x = -1014.37, y = 389.23.
15511. camidx = 19, ptidx = 4028, projections: x = 85.74, y = 143.34.
15512. camidx = 4, ptidx = 4029, projections: x = -59.88, y = 261.54.
15513. camidx = 7, ptidx = 4029, projections: x = -983.66, y = 274.97.
15514. camidx = 14, ptidx = 4029, projections: x = -138.77, y = 209.06.
15515. camidx = 15, ptidx = 4029, projections: x = 680.33, y = 114.6.
15516. camidx = 4, ptidx = 4030, projections: x = -59.88, y = 261.54.
15517. camidx = 7, ptidx = 4030, projections: x = -983.66, y = 274.97.
15518. camidx = 14, ptidx = 4030, projections: x = -138.77, y = 209.06.
15519. camidx = 4, ptidx = 4031, projections: x = 969.59, y = 269.63.
15520. camidx = 5, ptidx = 4031, projections: x = 566.3, y = 645.15.
15521. camidx = 4, ptidx = 4032, projections: x = 838.84, y = 274.67.
15522. camidx = 5, ptidx = 4032, projections: x = 393.87, y = 630.68.
15523. camidx = 4, ptidx = 4033, projections: x = 931.2, y = 281.64.
15524. camidx = 5, ptidx = 4033, projections: x = 514.62, y = 654.13.
15525. camidx = 4, ptidx = 4034, projections: x = 961.2, y = 282.49.
15526. camidx = 5, ptidx = 4034, projections: x = 553.9, y = 660.42.
15527. camidx = 4, ptidx = 4035, projections: x = 77.96, y = 303.44.
15528. camidx = 7, ptidx = 4035, projections: x = -798.7, y = 334.44.
15529. camidx = 15, ptidx = 4035, projections: x = 836.04, y = 161.69.
15530. camidx = 4, ptidx = 4036, projections: x = 77.96, y = 303.44.
15531. camidx = 7, ptidx = 4036, projections: x = -882.56, y = 339.27.
15532. camidx = 4, ptidx = 4037, projections: x = 113.76, y = 306.15.
15533. camidx = 7, ptidx = 4037, projections: x = -758.86, y = 337.36.
15534. camidx = 15, ptidx = 4037, projections: x = 875.09, y = 164.03.
15535. camidx = 4, ptidx = 4038, projections: x = 72.96, y = 308.36.
15536. camidx = 7, ptidx = 4038, projections: x = -805.29, y = 342.03.
15537. camidx = 10, ptidx = 4038, projections: x = -1218.11, y = -371.95.
15538. camidx = 15, ptidx = 4038, projections: x = 829.74, y = 167.59.
15539. camidx = 19, ptidx = 4038, projections: x = 620.17, y = 243.54.
15540. camidx = 4, ptidx = 4039, projections: x = 931.4, y = 310.82.
15541. camidx = 5, ptidx = 4039, projections: x = 509.38, y = 693.44.
15542. camidx = 4, ptidx = 4040, projections: x = 61.51, y = 313.61.
15543. camidx = 7, ptidx = 4040, projections: x = -821, y = 349.99.
15544. camidx = 4, ptidx = 4041, projections: x = 1082.21, y = 317.61.
15545. camidx = 5, ptidx = 4041, projections: x = 706.76, y = 721.99.
15546. camidx = 8, ptidx = 4041, projections: x = -181.64, y = 170.31.
15547. camidx = 4, ptidx = 4042, projections: x = 970.23, y = 324.04.
15548. camidx = 5, ptidx = 4042, projections: x = 558.12, y = 715.25.
15549. camidx = 4, ptidx = 4043, projections: x = 932.01, y = 325.21.
15550. camidx = 5, ptidx = 4043, projections: x = 507.03, y = 710.36.
15551. camidx = 4, ptidx = 4044, projections: x = 996.99, y = 327.31.
15552. camidx = 5, ptidx = 4044, projections: x = 592.07, y = 723.92.
15553. camidx = 4, ptidx = 4045, projections: x = 952.18, y = 332.61.
15554. camidx = 5, ptidx = 4045, projections: x = 531.6, y = 724.51.
15555. camidx = 4, ptidx = 4046, projections: x = 124.08, y = 337.47.
15556. camidx = 7, ptidx = 4046, projections: x = -750.04, y = 380.93.
15557. camidx = 19, ptidx = 4046, projections: x = 710.51, y = 290.78.
15558. camidx = 4, ptidx = 4047, projections: x = 16.42, y = 346.12.
15559. camidx = 7, ptidx = 4047, projections: x = -879.01, y = 401.2.
15560. camidx = 10, ptidx = 4047, projections: x = -1281.85, y = -313.23.
15561. camidx = 15, ptidx = 4047, projections: x = 767.33, y = 211.54.
15562. camidx = 4, ptidx = 4048, projections: x = 24.05, y = 369.09.
15563. camidx = 7, ptidx = 4048, projections: x = -868.83, y = 434.22.
15564. camidx = 15, ptidx = 4048, projections: x = 777.2, y = 237.34.
15565. camidx = 19, ptidx = 4048, projections: x = 529.52, y = 362.21.
15566. camidx = 4, ptidx = 4049, projections: x = -51.38, y = 371.08.
15567. camidx = 7, ptidx = 4049, projections: x = -973.14, y = 441.1.
15568. camidx = 15, ptidx = 4049, projections: x = 691.58, y = 239.87.
15569. camidx = 4, ptidx = 4050, projections: x = 961.91, y = 378.92.
15570. camidx = 5, ptidx = 4050, projections: x = 536.6, y = 786.76.
15571. camidx = 4, ptidx = 4051, projections: x = -13.3001, y = 380.13.
15572. camidx = 7, ptidx = 4051, projections: x = -920.65, y = 452.59.
15573. camidx = 15, ptidx = 4051, projections: x = 734.31, y = 250.12.
15574. camidx = 18, ptidx = 4051, projections: x = -1410.62, y = 114.72.
15575. camidx = 19, ptidx = 4051, projections: x = 458.38, y = 384.41.
15576. camidx = 20, ptidx = 4051, projections: x = -1213.67, y = -101.84.
15577. camidx = 4, ptidx = 4052, projections: x = 839.39, y = 387.25.
15578. camidx = 5, ptidx = 4052, projections: x = 370.3, y = 780.14.
15579. camidx = 4, ptidx = 4053, projections: x = 842.49, y = 389.17.
15580. camidx = 5, ptidx = 4053, projections: x = 374.02, y = 783.23.
15581. camidx = 4, ptidx = 4054, projections: x = -101.09, y = 390.61.
15582. camidx = 7, ptidx = 4054, projections: x = -1050.16, y = 473.72.
15583. camidx = 15, ptidx = 4054, projections: x = 634.39, y = 261.72.
15584. camidx = 19, ptidx = 4054, projections: x = 292.52, y = 404.75.
15585. camidx = 4, ptidx = 4055, projections: x = 408.09, y = 422.6.
15586. camidx = 7, ptidx = 4055, projections: x = -479.93, y = 489.93.
15587. camidx = 9, ptidx = 4055, projections: x = -1392.49, y = 434.76.
15588. camidx = 11, ptidx = 4055, projections: x = -686.5, y = 357.43.
15589. camidx = 18, ptidx = 4055, projections: x = -1137.04, y = 170.15.
15590. camidx = 4, ptidx = 4056, projections: x = 113.95, y = 443.91.
15591. camidx = 7, ptidx = 4056, projections: x = -783.53, y = 544.02.
15592. camidx = 4, ptidx = 4057, projections: x = 381, y = 444.68.
15593. camidx = 7, ptidx = 4057, projections: x = -530.69, y = 521.84.
15594. camidx = 11, ptidx = 4057, projections: x = -771.9, y = 403.43.
15595. camidx = 19, ptidx = 4057, projections: x = 1111.48, y = 433.48.
15596. camidx = 4, ptidx = 4058, projections: x = 9.98999, y = 447.83.
15597. camidx = 7, ptidx = 4058, projections: x = -889.99, y = 553.26.
15598. camidx = 10, ptidx = 4058, projections: x = -1282.93, y = -168.65.
15599. camidx = 14, ptidx = 4058, projections: x = -76.16, y = 368.51.
15600. camidx = 15, ptidx = 4058, projections: x = 760.78, y = 327.07.
15601. camidx = 4, ptidx = 4059, projections: x = 370.32, y = 462.07.
15602. camidx = 7, ptidx = 4059, projections: x = -553.79, y = 545.95.
15603. camidx = 9, ptidx = 4059, projections: x = -1520.01, y = 515.25.
15604. camidx = 14, ptidx = 4059, projections: x = 121.56, y = 325.93.
15605. camidx = 16, ptidx = 4059, projections: x = -137.66, y = 480.05.
15606. camidx = 19, ptidx = 4059, projections: x = 1086.1, y = 458.88.
15607. camidx = 20, ptidx = 4059, projections: x = -1045.99, y = -7.02002.
15608. camidx = 4, ptidx = 4060, projections: x = 124.15, y = 466.89.
15609. camidx = 7, ptidx = 4060, projections: x = -752.56, y = 571.38.
15610. camidx = 10, ptidx = 4060, projections: x = -1161.07, y = -155.61.
15611. camidx = 19, ptidx = 4060, projections: x = 708.52, y = 533.24.
15612. camidx = 4, ptidx = 4061, projections: x = 117.59, y = 477.68.
15613. camidx = 7, ptidx = 4061, projections: x = -759.42, y = 589.22.
15614. camidx = 10, ptidx = 4061, projections: x = -1164.84, y = -138.74.
15615. camidx = 16, ptidx = 4061, projections: x = -342.3, y = 505.39.
15616. camidx = 19, ptidx = 4061, projections: x = 695.98, y = 557.5.
15617. camidx = 4, ptidx = 4062, projections: x = 454.04, y = 486.96.
15618. camidx = 7, ptidx = 4062, projections: x = -414.34, y = 575.36.
15619. camidx = 9, ptidx = 4062, projections: x = -1295.81, y = 549.25.
15620. camidx = 11, ptidx = 4062, projections: x = -597.32, y = 465.89.
15621. camidx = 18, ptidx = 4062, projections: x = -1074.2, y = 239.77.
15622. camidx = 20, ptidx = 4062, projections: x = -921.91, y = 7.19.
15623. camidx = 4, ptidx = 4063, projections: x = 448.07, y = 500.85.
15624. camidx = 7, ptidx = 4063, projections: x = -431, y = 595.55.
15625. camidx = 9, ptidx = 4063, projections: x = -1329.22, y = 579.28.
15626. camidx = 10, ptidx = 4063, projections: x = -904.26, y = -144.49.
15627. camidx = 11, ptidx = 4063, projections: x = -630.81, y = 494.68.
15628. camidx = 19, ptidx = 4063, projections: x = 1239.6, y = 541.54.
15629. camidx = 4, ptidx = 4064, projections: x = 447.81, y = 503.63.
15630. camidx = 7, ptidx = 4064, projections: x = -432.06, y = 598.66.
15631. camidx = 9, ptidx = 4064, projections: x = -1330.1, y = 584.22.
15632. camidx = 10, ptidx = 4064, projections: x = -905, y = -141.48.
15633. camidx = 11, ptidx = 4064, projections: x = -632.59, y = 499.1.
15634. camidx = 18, ptidx = 4064, projections: x = -1095.8, y = 262.11.
15635. camidx = 19, ptidx = 4064, projections: x = 1237.8, y = 545.38.
15636. camidx = 4, ptidx = 4065, projections: x = 124.02, y = 520.77.
15637. camidx = 7, ptidx = 4065, projections: x = -753.71, y = 650.53.
15638. camidx = 15, ptidx = 4065, projections: x = 883.75, y = 408.85.
15639. camidx = 4, ptidx = 4066, projections: x = 491.5, y = 522.38.
15640. camidx = 7, ptidx = 4066, projections: x = -378.41, y = 621.8.
15641. camidx = 18, ptidx = 4066, projections: x = -1050.59, y = 279.65.
15642. camidx = 4, ptidx = 4067, projections: x = 504.44, y = 525.38.
15643. camidx = 7, ptidx = 4067, projections: x = -359.75, y = 624.35.
15644. camidx = 9, ptidx = 4067, projections: x = -1234.59, y = 619.73.
15645. camidx = 11, ptidx = 4067, projections: x = -543.05, y = 532.47.
15646. camidx = 16, ptidx = 4067, projections: x = -1.09998, y = 544.33.
15647. camidx = 4, ptidx = 4068, projections: x = 124.15, y = 525.98.
15648. camidx = 7, ptidx = 4068, projections: x = -753.64, y = 657.96.
15649. camidx = 10, ptidx = 4068, projections: x = -1156.4, y = -74.33.
15650. camidx = 4, ptidx = 4069, projections: x = 115.91, y = 575.51.
15651. camidx = 7, ptidx = 4069, projections: x = -765.64, y = 731.47.
15652. camidx = 10, ptidx = 4069, projections: x = -1162.33, y = -6.75.
15653. camidx = 19, ptidx = 4069, projections: x = 690.63, y = 735.31.
15654. camidx = 5, ptidx = 4070, projections: x = 156.76, y = 919.1.
15655. camidx = 7, ptidx = 4070, projections: x = -59.4399, y = 602.54.
15656. camidx = 9, ptidx = 4070, projections: x = -753.44, y = 572.81.
15657. camidx = 11, ptidx = 4070, projections: x = -84.79, y = 492.53.
15658. camidx = 14, ptidx = 4070, projections: x = 412.03, y = 372.65.
15659. camidx = 16, ptidx = 4070, projections: x = 204.65, y = 538.53.
15660. camidx = 5, ptidx = 4071, projections: x = -654.55, y = 853.03.
15661. camidx = 7, ptidx = 4071, projections: x = -786.82, y = 694.29.
15662. camidx = 10, ptidx = 4071, projections: x = -1181.71, y = -40.9399.
15663. camidx = 14, ptidx = 4071, projections: x = -11.78, y = 444.03.
15664. camidx = 18, ptidx = 4071, projections: x = -1305.24, y = 322.01.
15665. camidx = 19, ptidx = 4071, projections: x = 651.9, y = 690.54.
15666. camidx = 5, ptidx = 4072, projections: x = 435.93, y = 749.57.
15667. camidx = 8, ptidx = 4072, projections: x = -729.14, y = 358.36.
15668. camidx = 5, ptidx = 4073, projections: x = 274.67, y = 870.03.
15669. camidx = 7, ptidx = 4073, projections: x = 118.58, y = 527.49.
15670. camidx = 5, ptidx = 4074, projections: x = 436.81, y = 896.19.
15671. camidx = 8, ptidx = 4074, projections: x = -676.58, y = 659.67.
15672. camidx = 5, ptidx = 4075, projections: x = 817.98, y = 656.22.
